0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;
1110;413;455;420;431;430;476;497;535;558;656;886;2461;2291;4418;8717;18237;39222;120085;425823;892820;
3200;577;690;561;619;475;647;475;542;584;705;1175;2524;2280;4528;8814;17831;39442;118258;421734;850745;
934;410;500;429;487;473;504;609;491;563;627;844;2364;2272;4370;8604;17772;40082;119943;420526;878276;
2310;584;456;564;682;857;556;578;638;577;943;893;2518;2379;4366;8670;17577;40192;116758;411620;877227;
3178;866;668;601;607;606;535;971;481;645;662;1096;2420;2281;4379;8799;18187;39168;119649;414876;876456;
4009;1075;726;627;702;848;722;496;765;1061;728;1292;2394;2258;4435;8472;17387;39137;121215;412099;866763;
737;400;435;410;413;437;480;471;481;513;652;854;2435;2305;4497;8742;17879;40017;113909;423135;858800;
3121;701;580;496;779;490;529;708;487;523;628;1014;2403;2308;4765;8687;17701;38000;114644;421929;860945;
1976;506;864;604;456;479;475;490;535;540;639;884;2386;2320;4295;8792;18384;39967;115771;408435;868931;
2573;720;444;750;505;671;643;618;1015;612;660;1024;2673;2275;4523;8865;17701;39049;107854;426251;883683;
6291;539;692;739;537;674;688;498;652;571;634;862;2497;2305;4515;8581;18394;38238;115332;412203;867026;
























































































